"Context","Source/Translation"
"CODE","ja"
"NAME","日本語"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","転送の管理"
"tabCallAgain","再呼び出し"
"tabGeneral","一般"
"DEBUGPROFILE","最適化した転送管理"
"optionEnableNewTransferManager","最適化した転送管理を有効化"
"GROUP_SERVICE_OPTIONS","サービスのオプション"
"optionPreferLocalService","地区のサービスを優先"
"optionPreferLocalService_txt","優先度の低いリクエストは同じ地区内(または近隣地区) のみで照合して、 各建物に対する都市サービスの優先度や利便性が更に向上します。 そして、未達成のリクエストで優先度が高くなった場合は、 近くの都市サービスから提供されて処理します。 影響: ゴミ/警察/医療/整備車両/郵便/タクシー"
"GROUP_WAREHOUSE_OPTIONS","商品配送のオプション"
"optionWarehouseFirst","倉庫を優先"
"optionWarehouseFirst_txt","使用可能な場合は、 倉庫経由で全ての商品配送(輸出入) を行うことをお勧めします。 倉庫周辺の交通量が増えるため、 倉庫を戦略的かつ適切に配置することが要求されます。"
"optionWarehouseReserveTrucks","倉庫のトラックを市内配送用に予約"
"optionWarehouseReserveTrucks_txt","「倉庫を優先」機能と併用を推奨: 倉庫で使用可能なトラック 25％を市内配送用に予約して、 全てのトラックが輸出で使用される現象を防止します。"
"optionWarehouseNewBalanced","倉庫の配送を改善"
"optionWarehouseNewBalanced_txt","倉庫は輸出入の判定を決める前に、 都市内の倉庫から購入・もしくは売却を一時的に待ちます。 この結果、不要な輸出入の削減や、 倉庫間の移送を改善や輸送効率が向上します。 輸出入は通常通り行われるので注意してください。"
"GROUP_EXPORTIMPORT_OPTIONS","輸出入のオプション"
"optionPreferExportShipPlaneTrain","輸出入は鉄道/船舶/飛行機を優先"
"optionPreferExportShipPlaneTrain_txt","全ての輸出入は外部に向かう高速道路が近い場合でも、 鉄道/船舶/飛行機を可能な限り優先します。"
"GROUP_EXPERIMENTAL_DEATHCARE","実験的な機能"
"optionDeathcareExperimental","葬儀の改善"
"txtDeathcareExperimental","デフォルトの転送オファーは、 死亡者一人に対して1台の霊柩車を墓地や火葬場が常に要求します。 このオプションでは霊柩車に対する転送オファーの要求数を変更して、 死亡者や大量死への応答性が改善する可能性があります。"
"CallAgainEnabled","再呼び出しを有効化"
"sliderCallAgainUpdateRate","再呼び出しの更新率"
"CallAgainDescriptionThreshold","閾値: 低い閾値だと、早く再呼び出しを開始"
"CallAgainDescriptionRate","更新率: 低い更新率だと、応答までの再呼び出しが頻繁に発生"
"GROUP_CALLAGAIN_HEALTHCARE","医療関係"
"CallAgainHealthcareThreshold","医療の閾値"
"CallAgainHealthcareRate","医療の再呼び出しの更新率"
"GROUP_CALLAGAIN_DEATHCARE","葬儀関係"
"CallAgainDeathcareThreshold","葬儀の閾値"
"CallAgainDeathcareRate","葬儀の再呼び出しの更新率"
"GROUP_TRANSFERISSUE_PANEL","転送の問題点パネル"
"keyOpenTransferIssuePanel","転送の問題点パネルを開く"
"optionShowIssuesWithVehiclesOnRoute","経路に問題のある車両を表示"
"sliderTransferIssueDeleteResolvedDelay","解決した遅延を削除"
"GROUP_STATISTICS_PANEL","統計パネル"
"keyOpenStatisticsPanel","統計パネルを開く"
"StatisticsPanelEnabled","統計を有効化"
"btnResetPathingStatistics","経路の統計をリセット"
"buttonResetTransferStatistics","転送の統計をリセット"
"tabBuildingPanelSettings","設定"
"GROUP_BUILDINGPANEL_SERVICES","サービスのオプション"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","外部接続"
"dropdownBuildingPanelImportExport","輸出入"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","商品配送のオプション"
"chkBuildingPanelReserveWarehouseTrucks","倉庫のトラックを市内配送用に予約"
"dropBuildingPanelImportExport1","輸出入を許可"
"dropBuildingPanelImportExport2","輸入のみ許可"
"dropBuildingPanelImportExport3","輸出のみ許可"
"dropBuildingPanelImportExport4","輸出入を禁止"
"tabBuildingPanelStatus","ステータス"
"listBuildingPanelStatusColumn1","素材"
"listBuildingPanelStatusColumn2","数値"
"listBuildingPanelStatusColumn3","応答"
"listBuildingPanelStatusColumn4","車両"
"listBuildingPanelStatusColumn5","説明"
"tabBuildingPanelTransfers","転送先"
"labelBuildingPanelOffers","転送のオファー"
"labelBuildingPanelMatchOffers","一致したオファー"
"listBuildingPanelOffersColumn1","出入り"
"listBuildingPanelOffersColumn2","素材"
"listBuildingPanelOffersColumn3","優先度"
"listBuildingPanelOffersColumn4","移動中"
"listBuildingPanelOffersColumn5","数量"
"listBuildingPanelOffersColumn6","説明"
"listBuildingPanelMatchesColumn1","時間"
"listBuildingPanelMatchesColumn2","素材"
"listBuildingPanelMatchesColumn3","移動中"
"listBuildingPanelMatchesColumn4","数量"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","説明"
"titleTransferIssuesPanel","転送の問題点"
"tabTransferIssuesPathing","経路情報"
"listPathingColumn1","時間"
"listPathingColumn2","ソース"
"listPathingColumn3","対象"
"tabTransferIssuesDead","死者"
"listDeadColumn1","死者"
"listDeadColumn2","タイマー"
"listDeadColumn3","ソース"
"listDeadColumn4","対象"
"listDeadColumn5","車両"
"tabTransferIssuesSick","病人"
"listSickColumn1","病人"
"listBuildingPanelVehicleTarget","対象"
"dropdownBuildingPanelPreferLocalLabel","地区の制限"
"dropdownBuildingPanelPreferLocal1","全ての地区でサービス"
"dropdownBuildingPanelPreferLocal2","地区を優先"
"dropdownBuildingPanelPreferLocal3","地区内のみ"
"tabTransferIssuesOutside","外部"
"GROUP_BUILDING_PANEL","建物パネル"
"keyOpenBuildingPanel","建物パネルを開く"
"DespawnReturningCargoTrucks","帰還するトラックを自動的にデスポーン"
"GROUP_LOCALISATION","使用言語"
"dropdownLocalization","言語"
"GROUP_CALLAGAIN_CARGOSTATION","貨物駅"
"tabBuildingPanelVehicles","車両"
"txtBuildingPanelTransferManagerWarning","警告: 各種の設定は、「最適化した転送管理」を有効化する必要があります"
"tabTransferIssuesGoods","商品"
"GROUP_CALLAGAIN_GOODS","商品配送のオプション"
"CallAgainGoodsThreshold","商品の閾値"
"CallAgainGoodsRate","商品の再呼び出しの更新率"
"chkShowIssuesWithVehicles","経路に問題のある車両を表示"
"GROUP_BUILDINGPANEL_DISTRICT","地区の制限"
"dropdownBuildingPanelIncomingPreferLocalLabel","受信"
"dropdownBuildingPanelOutgoingPreferLocalLabel","発信"
"chkAllowImport","輸入を許可"
"chkAllowExport","輸出を許可"
"GROUP_BUILDINGPANEL_APPLYTOALL","同じタイプの建物で一括適用"
"txtExperimentalOutside","オプションを選択すると、 オファーの一致が外部接続の場合は処理をスキップします。 オファーが最適な転送先として、 外部接続が一致した場合は選択も可能です。 ただし、外部接続はオファーの発信元として、 使用することはありません。"
"optionExperimentalOutside","外部接続の交通量を削減"
"GROUP_EXPERIMENTAL_CONNECTIONS","外部接続"
