"Context","Source/Translation"
"CODE","pt-BR"
"NAME","Português do Brasil"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabCallAgain","CallAgain"
"tabGeneral","General"
"DEBUGPROFILE","Gerenciador de transferências personalizadas"
"optionEnableNewTransferManager","Ativar o Gerenciador de transferência personalizado"
"GROUP_SERVICE_OPTIONS","Opções de Serviço"
"optionPreferLocalService","Preferir serviços no distrito local"
"optionPreferLocalService_txt","Melhora ainda mais os serviços locais, conectando requisições de prioridade baixa somente com serviços dentro do mesmo distrito (ou fora de qualquer distrito). Se uma requisição se tornar de alta prioridade, ela será atendida por qualquer serviço, independente do distrito que está. Afeta: lixo, polícia, saúde, manutenção, email e taxi."
"GROUP_WAREHOUSE_OPTIONS","Opções de Entrega de Produtos"
"optionWarehouseFirst","Armazém Primeiro"
"optionWarehouseFirst_txt","Se disponível, prefere realizar a entrega de todos os produtos (exportação e importação) através de armazéns. Como esta opção aumenta o trânsito em armazéns, é aconselhável que eles estejam colocados de forma estratégica na cidade."
"optionWarehouseReserveTrucks","Reserva caminhões de armazéns para transferências locais"
"optionWarehouseReserveTrucks_txt","Recomendado para habilitar com Warehouse First: reserve 25% da capacidade do caminhão do armazém para atender a demanda da cidade, evita que todos os caminhões sejam usados para exportação."
"optionWarehouseNewBalanced","Armazém local"
"optionWarehouseNewBalanced_txt","Armazéns irão esperar para comprar ou vender para outros armazéns locais antes de decidir importar/exportar. Isto deverá ajudar a reduzir importação/exportação desnecessária e fazer com que as transferências dentro da cidade sejam mais eficientes. Note que ainda haverá importação e exportação."
"GROUP_EXPORTIMPORT_OPTIONS","Opções de Importação/Exportação"
"optionPreferExportShipPlaneTrain","Importação/Exportação preferem usar navio/avião/trem ao invés de rodovias"
"optionPreferExportShipPlaneTrain_txt","Função Experimental."
"GROUP_EXPERIMENTAL_DEATHCARE","Experimental"
"optionDeathcareExperimental","Improved death care transfers"
"txtDeathcareExperimental","By default Cemeteries send out a transfer offer for one hearse at a time.This option changes the offer to be the number of available hearses, which can result in improved deathcare responsiveness."
"CallAgainEnabled","Enable Call Again"
"sliderCallAgainUpdateRate","Call Again update rate"
"CallAgainDescriptionThreshold","Threshold: Lower thresholds start calling sooner."
"CallAgainDescriptionRate","Rate: Lower rates produce call backs more often until a response is received."
"GROUP_CALLAGAIN_HEALTHCARE","Health Care"
"CallAgainHealthcareThreshold","Healthcare Threshold"
"CallAgainHealthcareRate","Healthcare Callback Rate"
"GROUP_CALLAGAIN_DEATHCARE","Death Care"
"CallAgainDeathcareThreshold","Deathcare Threshold"
"CallAgainDeathcareRate","Deathcare Callback Rate"
"GROUP_TRANSFERISSUE_PANEL","Transfer Issue Panel"
"keyOpenTransferIssuePanel","Open Transfer Issue Panel"
"optionShowIssuesWithVehiclesOnRoute","Show issues with vehicles on route"
"sliderTransferIssueDeleteResolvedDelay","Delete resolved delay"
"GROUP_STATISTICS_PANEL","Statistics Panel"
"keyOpenStatisticsPanel","Open Statistics Panel"
"StatisticsPanelEnabled","Enable Statistics"
"btnResetPathingStatistics","Reset Pathing Statistics"
"buttonResetTransferStatistics","Reset Transfer Statistics"
"tabBuildingPanelSettings","Settings"
"GROUP_BUILDINGPANEL_SERVICES","Service Options"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Outside Connections"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Goods Delivery Options"
"chkBuildingPanelReserveWarehouseTrucks","Reserve warehouse cargo trucks for local transfers"
"dropBuildingPanelImportExport1","Allow Import and Export"
