"Context","Source/Translation"
"CODE","ko"
"NAME","한국인"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabCallAgain","CallAgain"
"tabGeneral","General"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Enable Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","서비스 옵션"
"optionPreferLocalService","지역 서비스를 선호"
"optionPreferLocalService_txt","동일한 구역(또는 구역 외부) 내 서비스 건물에만 낮은 우선순위 요청을 일치시켜 서비스의 지역성을 더욱 향상시킵니다. 충족되지 않은 요청이 우선 순위가 높은 경우 가까운 서비스 제안에서 제공됩니다. 영향: 쓰레기, 경찰, 의료, 유지 보수, 우편, 택시"
"GROUP_WAREHOUSE_OPTIONS","상품 배송 옵션"
"optionWarehouseFirst","창고 우선"
"optionWarehouseFirst_txt","가능한 경우 창고를 통해 모든 상품 배송(인바운드 및 아웃바운드) 을 수행하는 것을 선호합니다. 창고 트래픽이 증가하여 창고가 전략적으로 더 잘 배치됩니다"
"optionWarehouseReserveTrucks","지역 이동을 위한 창고 화물 트럭 예약"
"optionWarehouseReserveTrucks_txt","Warehouse First와 함께 활성화하는 것이 좋습니다. 도시 수요를 충족하기 위해 창고 트럭 용량의 25%를 예약하고 모든 트럭이 수출에 사용되는 것을 방지합니다."
"optionWarehouseNewBalanced","Warehouse improved locality"
"optionWarehouseNewBalanced_txt","Warehouses will wait to buy from local warehouses or sell to local warehouse before deciding to import/export respectively. This should reduce unnecessary import/export and make intra-city warehouse transfers more reliable. Note that imports/exports will still happen."
"GROUP_EXPORTIMPORT_OPTIONS","내보내기/가져오기 옵션"
"optionPreferExportShipPlaneTrain","수입/수출은 고속도로 대신 배/비행기/기차를 사용하는 것을 선호합니다."
"optionPreferExportShipPlaneTrain_txt","실험적인 기능!"
"GROUP_EXPERIMENTAL_DEATHCARE","Experimental"
"optionDeathcareExperimental","Improved death care transfers"
"txtDeathcareExperimental","By default Cemeteries send out a transfer offer for one hearse at a time.This option changes the offer to be the number of available hearses, which can result in improved deathcare responsiveness."
"CallAgainEnabled","Enable Call Again"
"sliderCallAgainUpdateRate","Call Again update rate"
"CallAgainDescriptionThreshold","Threshold: Lower thresholds start calling sooner."
"CallAgainDescriptionRate","Rate: Lower rates produce call backs more often until a response is received."
"GROUP_CALLAGAIN_HEALTHCARE","Health Care"
"CallAgainHealthcareThreshold","Healthcare Threshold"
"CallAgainHealthcareRate","Healthcare Callback Rate"
"GROUP_CALLAGAIN_DEATHCARE","Death Care"
"CallAgainDeathcareThreshold","Deathcare Threshold"
"CallAgainDeathcareRate","Deathcare Callback Rate"
"GROUP_TRANSFERISSUE_PANEL","Transfer Issue Panel"
"keyOpenTransferIssuePanel","Open Transfer Issue Panel"
"optionShowIssuesWithVehiclesOnRoute","Show issues with vehicles on route"
"sliderTransferIssueDeleteResolvedDelay","Delete resolved delay"
"GROUP_STATISTICS_PANEL","Statistics Panel"
"keyOpenStatisticsPanel","Open Statistics Panel"
"StatisticsPanelEnabled","Enable Statistics"
"btnResetPathingStatistics","Reset Pathing Statistics"
"buttonResetTransferStatistics","Reset Transfer Statistics"
"tabBuildingPanelSettings","Settings"
"GROUP_BUILDINGPANEL_SERVICES","Service Options"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Outside Connections"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Goods Delivery Options"
"chkBuildingPanelReserveWarehouseTrucks","Reserve warehouse cargo trucks for local transfers"
"dropBuildingPanelImportExport1","Allow Import and Export"
"dropBuildingPanelImportExport2","Allow Import Only"
"dropBuildingPanelImportExport3","Allow Export Only"
"dropBuildingPanelImportExport4","Neither Allowed"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Value"
"listBuildingPanelStatusColumn3","Responder"
"listBuildingPanelStatusColumn4","Vehicle"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Transfer Offers"
"labelBuildingPanelMatchOffers","Match Offers"
"listBuildingPanelOffersColumn1","In/Out"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priority"
"listBuildingPanelOffersColumn4","Active"
"listBuildingPanelOffersColumn5","Amount"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Time"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Active"
"listBuildingPanelMatchesColumn4","Amount"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Transfer Issues"
"tabTransferIssuesPathing","Pathing"
"listPathingColumn1","Time"
"listPathingColumn2","Source"
"listPathingColumn3","Target"
"tabTransferIssuesDead","Dead"
"listDeadColumn1","Dead"
"listDeadColumn2","Timer"
"listDeadColumn3","Source"
"listDeadColumn4","Target"
"listDeadColumn5","Vehicle"
"tabTransferIssuesSick","Sick"
"listSickColumn1","Sick"
"listBuildingPanelVehicleTarget","Target"
"dropdownBuildingPanelPreferLocalLabel","District Restrictions"
"dropdownBuildingPanelPreferLocal1","All Districts"
"dropdownBuildingPanelPreferLocal2","Prefer Within District"
"dropdownBuildingPanelPreferLocal3","Within District Only"
"tabTransferIssuesOutside","Outside"
"GROUP_BUILDING_PANEL","Building Panel"
"keyOpenBuildingPanel","Open Building Panel"
"DespawnReturningCargoTrucks","Automatically despawn returning cargo trucks"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"GROUP_CALLAGAIN_CARGOSTATION","Cargo Station"
"tabBuildingPanelVehicles","Vehicles"
"txtBuildingPanelTransferManagerWarning","Warning: These settings require the Custom Transfer Manager to be enabled."
"tabTransferIssuesGoods","Goods"
"GROUP_CALLAGAIN_GOODS","Goods Delivery Options"
"CallAgainGoodsThreshold","Goods Threshold"
"CallAgainGoodsRate","Goods Call back Rate"
"chkShowIssuesWithVehicles","Show issues with vehicles on route"
"GROUP_BUILDINGPANEL_DISTRICT","District Restrictions"
"dropdownBuildingPanelIncomingPreferLocalLabel","Incoming"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Outgoing"
"chkAllowImport","Allow Import"
"chkAllowExport","Allow Export"
"GROUP_BUILDINGPANEL_APPLYTOALL","Apply To All Buildings of Same Type"
"txtExperimentalOutside","This option will skip over outside connections when performing a match. They can still be selected to match against an offer if selected as the best match but will no longer be used as the originator of a match."
"optionExperimentalOutside","Reduce outside connection traffic"
"GROUP_EXPERIMENTAL_CONNECTIONS","Outside Connections"
