"Context","Source/Translation"
"CODE","zh"
"NAME","简体中文"
"TMCE_NAM","运输管理器"
"tabTransferManager","运输管理"
"tabGeneral","常用"
"tabWarehouses","仓库"
"tabServices","服务"
"DEBUGPROFILE","自定义运输管理器"
"optionEnableNewTransferManager","启用自定义运输管理器"
"GROUP_SERVICE_OPTIONS","服务选项"
"optionPreferLocalService","首选本地服务"
"optionPreferLocalService_txt","通过仅将低优先级请求与同一区域内（或任何区域外）的服务建筑进行匹配，进一步提高服务的局部性。 一旦未完成的请求成为高优先级，它将由附近的任何服务提供服务。 影响：垃圾、警察、医疗保健、维修、邮件、出租车。"
"GROUP_WAREHOUSE_OPTIONS","货物交付选项"
"optionWarehouseFirst","仓库优先"
"optionWarehouseFirst_txt","如果有的话，最好通过仓库进行所有货物交付（入库和出库）。这将增加仓库流量，因此您的仓库最好位于战略位置。"
"optionWarehouseReserveTrucks","预留仓库货运卡车供本地运输使用"
"optionWarehouseReserveTrucks_txt","启用“仓库优先”功能时，建议预留一定比例的仓库货车以满足城市需求，以免所有卡车用于出口"
"GROUP_EXPORTIMPORT_OPTIONS","进口/出口选项"
"GROUP_EXPERIMENTAL_DEATHCARE","死亡护理/垃圾"
"optionDeathcareExperimental","改善死亡护理传输"
"optionGarbageExperimental","改进的垃圾传输"
"optionPoliceExperimental","改进警察转移"
"txtDeathcareExperimental","默认情况下，公墓、垃圾站和警察局一次发出一辆车的转移报价。此选项将报价更改为可用车辆的数量，这可以改善匹配。"
"GROUP_TRANSFERISSUE_PANEL","传输问题面板"
"keyOpenTransferIssuePanel","打开传输问题面板"
"optionShowIssuesWithVehiclesOnRoute","显示路线上车辆的问题"
"sliderTransferIssueDeleteResolvedDelay","删除已解决的延迟"
"GROUP_STATISTICS_PANEL","统计面板"
"keyOpenStatisticsPanel","打开统计面板"
"StatisticsPanelEnabled","启用统计"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","重置转移统计"
"tabBuildingPanelSettings","环境"
"GROUP_BUILDINGPANEL_SERVICES","服务选项"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","外部连接"
"dropdownBuildingPanelImportExport","进口/出口"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","货物交付选项"
"chkBuildingPanelReserveWarehouseTrucks","为本地转运预留仓库货运卡车"
"tabBuildingPanelStatus","状态"
"listBuildingPanelStatusColumn1","材料"
"listBuildingPanelStatusColumn2","数值"
"listBuildingPanelStatusColumn3","响应者"
"listBuildingPanelStatusColumn4","车辆"
"listBuildingPanelStatusColumn5","描述"
"tabBuildingPanelTransfers","传输"
"labelBuildingPanelOffers","传输供给"
"labelBuildingPanelMatchOffers","匹配供给"
"listBuildingPanelOffersColumn1","进/出口"
"listBuildingPanelOffersColumn2","材料"
"listBuildingPanelOffersColumn3","优先权"
"listBuildingPanelOffersColumn4","激活"
"listBuildingPanelOffersColumn5","数量"
"listBuildingPanelOffersColumn6","描述"
"listBuildingPanelMatchesColumn1","时间"
"listBuildingPanelMatchesColumn2","材料"
"listBuildingPanelMatchesColumn3","激活"
"listBuildingPanelMatchesColumn4","数量"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","描述"
"titleTransferIssuesPanel","传输问题"
"tabTransferIssuesPathing","寻路"
"listPathingColumn1","时间"
"listPathingColumn2","来源"
"listPathingColumn3","目标"
"tabTransferIssuesDead","死亡"
"listDeadColumn1","死亡"
"listDeadColumn2","定时器"
"listDeadColumn3","来源"
"listDeadColumn4","目标"
"listDeadColumn5","车辆"
"tabTransferIssuesSick","生病"
"listSickColumn1","生病"
"listBuildingPanelVehicleTarget","目标"
"dropdownBuildingPanelPreferLocalLabel","区域限制"
