"Context","Source/Translation"
"CODE","de"
"NAME","Deutsch"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Allgemein"
"tabWarehouses","Lagerhäuser"
"tabServices","Dienstleistungen"
"DEBUGPROFILE","Benutzerspezifischer Transfer Manager"
"optionEnableNewTransferManager","Benutzerspezifischen Transfer Manager aktivieren"
"GROUP_SERVICE_OPTIONS","Serviceoptionen"
"optionPreferLocalService","Eigenes Stadtviertel bevorzugen"
"optionPreferLocalService_txt","Weitere Verbesserung der Dienstleistungen, indem Anfragen mit niedriger Priorität nur Dienstleistungsgebäuden im gleichen Stadtviertel (oder außerhalb eines Stadtviertels) zugewiesen werden. Sobald eine Anfrage eine hohe Priorität erhält, wird diese auch an Gebäude außerhalb des eigenen Stadtviertels weitergeleitet. Betrifft: Müll, Polizei, Gesundheitswesen, Straßeninstandsetzung, Post, Taxi."
"GROUP_WAREHOUSE_OPTIONS","Lieferoptionen"
"optionWarehouseFirst","Lagerhäuser zuerst"
"optionWarehouseFirst_txt","Alle Warenlieferungen (eingehend und ausgehend) werden, wenn vorhanden, über Lagerhäuser abgewickelt. Erhöht den Verkehr der Lagerhäuser, weshalb diese strategisch gut positioniert werden sollten."
"optionWarehouseReserveTrucks","Frachtlaster für innerstädtische Anfragen reservieren"
"optionWarehouseReserveTrucks_txt","Empfohlen, wenn Option ""Lagerhäuser zuerst"" aktiviert ist: reserviere x % der Frachtlaster eines Lagerhauses, um innerstädtische Anfragen zu bedienen. Verhindert, dass alle Frachtlaster für den Export verwendet werden."
"GROUP_EXPORTIMPORT_OPTIONS","Export/Import-Optionen"
"GROUP_EXPERIMENTAL_DEATHCARE","Bestattungswesen / Müllentsorgung"
"optionDeathcareExperimental","Verbesserter Transport von Verstorbenen"
"optionGarbageExperimental","Verbesserter Mülltransport"
"optionPoliceExperimental","Verbesserte Polizeitransfers"
"txtDeathcareExperimental","Standardmäßig senden Friedhöfe, Müll- und Polizeistationen eine Anfrage für jeweils ein Fahrzeug. Durch diese Einstellung wird die Anfrage so angepasst, dass sie der Anzahl verfügbarer Fahrzeuge entspricht. Hierdurch können sich die Zuweisungen verbessern."
"GROUP_TRANSFERISSUE_PANEL","Problemübersicht"
"keyOpenTransferIssuePanel","Öffne Problemübersicht"
"optionShowIssuesWithVehiclesOnRoute","Zeige Probleme mit Fahrzeugen, die unterwegs sind"
"sliderTransferIssueDeleteResolvedDelay","Warten, bis gelöste Probleme gelöscht werden"
"GROUP_STATISTICS_PANEL","Statistik-Fenster"
