"Context","Source/Translation"
"CODE","ru"
"NAME","Русский"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabCallAgain","CallAgain"
"tabGeneral","General"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Enable Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","Варианты обслуживания"
"optionPreferLocalService","Предпочитаю местные районные службы"
"optionPreferLocalService_txt","Дальнейшее улучшение локализации услуг путем сопоставления запросов с низким приоритетом только с служебными зданиями в том же районе (или за пределами любого района). Как только невыполненный запрос становится высокоприоритетным, он будет обслуживаться любым ближайшим сервисным предложением. Затрагивает: мусор, полиция, здравоохранение, обслуживание, почта, такси."
"GROUP_WAREHOUSE_OPTIONS","Варианты доставки"
"optionWarehouseFirst","Склад Один"
"optionWarehouseFirst_txt","Все поставки товаров (входящие и исходящие) предпочтительно осуществлять через склады, если таковые имеются. Увеличьте трафик склада, чтобы ваши склады были лучше расположены стратегически.
optionWarehouseReserveTrucks	Резерв грузовых автомобилей склада для местных перевозок."
"optionWarehouseReserveTrucks","Резерв грузовых автомобилей склада для местных перевозок"
"optionWarehouseReserveTrucks_txt","Рекомендуется включить с Warehouse First: зарезервируйте 25% вместимости складских грузовиков для удовлетворения потребностей города, предотвращает использование всех грузовиков для экспорта."
"optionWarehouseNewBalanced","Улучшенная региональность склада"
"optionWarehouseNewBalanced_txt","Склады в СБАЛАНСИРОВАННОМ режиме будут ждать, чтобы купить на местных складах или продать на местный склад, прежде чем принять решение об импорте/экспорте соответственно. Это должно сократить ненужный импорт/экспорт и сделать внутригородские складские перевозки более надежными. Обратите внимание, что импорт/экспорт по-прежнему будет происходить."
"GROUP_EXPORTIMPORT_OPTIONS","Параметры экспорта/импорта"
"optionPreferExportShipPlaneTrain","Импорт/экспорт предпочитают использовать корабль/самолет/поезд вместо шоссе"
"optionPreferExportShipPlaneTrain_txt","Экспериментальная функция."
"GROUP_EXPERIMENTAL_DEATHCARE","Experimental"
"optionDeathcareExperimental","Improved death care transfers"
"txtDeathcareExperimental","By default Cemeteries send out a transfer offer for one hearse at a time.This option changes the offer to be the number of available hearses, which can result in improved deathcare responsiveness."
"CallAgainEnabled","Enable Call Again"
"sliderCallAgainUpdateRate","Call Again update rate"
"CallAgainDescriptionThreshold","Threshold: Lower thresholds start calling sooner."
"CallAgainDescriptionRate","Rate: Lower rates produce call backs more often until a response is received."
"GROUP_CALLAGAIN_HEALTHCARE","Health Care"
"CallAgainHealthcareThreshold","Healthcare Threshold"
"CallAgainHealthcareRate","Healthcare Callback Rate"
"GROUP_CALLAGAIN_DEATHCARE","Death Care"
"CallAgainDeathcareThreshold","Deathcare Threshold"
